title,doi,year,journal,authors,url,bibtex
A study on software fault prediction techniques,10.1007/s10462-017-9563-5,2017,Artificial Intelligence Review,Santosh S. Rathore; Sandeep Kumar,https://link.springer.com/article/10.1007/s10462-017-9563-5,"@Article{Rathore2019,
author=""Rathore, Santosh S.
and Kumar, Sandeep"",
title=""A study on software fault prediction techniques"",
journal=""Artificial Intelligence Review"",
year=""2019"",
month=""Feb"",
day=""01"",
volume=""51"",
number=""2"",
pages=""255--327"",
abstract=""Software fault prediction aims to identify fault-prone software modules by using some underlying properties of the software project before the actual testing process begins. It helps in obtaining desired software quality with optimized cost and effort. Initially, this paper provides an overview of the software fault prediction process. Next, different dimensions of software fault prediction process are explored and discussed. This review aims to help with the understanding of various elements associated with fault prediction process and to explore various issues involved in the software fault prediction. We search through various digital libraries and identify all the relevant papers published since 1993. The review of these papers are grouped into three classes: software metrics, fault prediction techniques, and data quality issues. For each of the class, taxonomical classification of different techniques and our observations have also been presented. The review and summarization in the tabular form are also given. At the end of the paper, the statistical analysis, observations, challenges, and future directions of software fault prediction have been discussed."",
issn=""1573-7462"",
doi=""10.1007/s10462-017-9563-5"",
url=""https://doi.org/10.1007/s10462-017-9563-5""
}"
A Security Assessment Methodology for Critical Infrastructures,10.1007/978-3-319-31664-2_34,2016,Critical Information Infrastructures Security,Marco Caselli; Frank Kargl,https://link.springer.com/chapter/10.1007/978-3-319-31664-2_34,"@InProceedings{10.1007/978-3-319-31664-2_34,
author=""Caselli, Marco
and Kargl, Frank"",
editor=""Panayiotou, Christos G.
and Ellinas, Georgios
and Kyriakides, Elias
and Polycarpou, Marios M."",
title=""A Security Assessment Methodology for Critical Infrastructures"",
booktitle=""Critical Information Infrastructures Security"",
year=""2016"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""332--343"",
abstract=""Interest in security assessment and penetration testing techniques has steadily increased. Likewise, security of industrial control systems (ICS) has become more and more important. Very few methodologies directly target ICS and none of them generalizes the concept of ``critical infrastructures pentesting''. Existing methodologies and tools cannot be applied directly to critical infrastructures (CIs) due to safety and availability requirements. Moreover, there is no clear understanding on the specific output that CI operators need from such an assessment. We propose a new methodology tailored to support security testing in ICS/CI environments. By analyzing security assessments and penetration testing methodologies proposed for other domains and interviewing stakeholders to identify existing best practices adopted in industry, deriving related issues and collecting proposals for possible solutions we propose a new security assessment and penetration testing methodology for critical infrastructure."",
isbn=""978-3-319-31664-2""
}"
A defense framework against malware and vulnerability exploits,10.1007/s10207-014-0233-1,2014,International Journal of Information Security,Meng Zhang; Anand Raghunathan; Niraj K. Jha,https://link.springer.com/article/10.1007/s10207-014-0233-1,"@Article{Zhang2014,
author=""Zhang, Meng
and Raghunathan, Anand
and Jha, Niraj K."",
title=""A defense framework against malware and vulnerability exploits"",
journal=""International Journal of Information Security"",
year=""2014"",
month=""Oct"",
day=""01"",
volume=""13"",
number=""5"",
pages=""439--452"",
abstract=""Current anti-malware tools have proved to be insufficient in combating ever-evolving malware attacks and vulnerability exploits due to inevitable vulnerabilities present in the complex software used today. In addition, the performance penalty incurred by anti-malware tools is magnified when security approaches designed for desktops are migrated to modern mobile devices, such as tablets and laptops, due to their relatively limited processing capabilities and battery capacities. In this paper, we propose a fine-grained anomaly detection defense framework that offers a cost-efficient way to detect malicious behavior and prevent vulnerability exploits in resource-constrained computing platforms. In this framework, a trusted third party (e.g., the publisher) first tests a new application by running it in a heavily monitored testing environment that emulates the target system and extracts a behavioral model from its execution paths. Extensive security policies are enforced during this process. In case of a violation, the program is denied release to the user. If the application passes the tests, the user can download the behavioral model along with the tested application binary. At run-time, the application is monitored against the behavioral model. In the unlikely event that a new execution path is encountered, conservative but lightweight security policies are applied. To reduce overhead at the user end, the behavioral model may be further reduced by the publisher through static analysis. We have implemented the defense framework using a netbook with the Intel Atom processor and evaluated it with a suite of 51 real-world Linux viruses and malware. Experiments demonstrate that our tool achieves a very high coverage (98 {\%}) of considered malware and security threats. The four antivirus tools we compare our tool against were found to have poor virus coverage, especially of obfuscated viruses. By removing safe standard library blocks from the behavioral model, we reduce the model size by 8.4{\$}{\$}{\backslash}times {\$}{\$}and the user's run-time overhead by 23 {\%}."",
issn=""1615-5270"",
doi=""10.1007/s10207-014-0233-1"",
url=""https://doi.org/10.1007/s10207-014-0233-1""
}"
Towards a Penetration Testing Framework Using Attack Patterns,10.1007/978-3-319-04447-7_11,2014,Cyberpatterns,Clive Blackwell,https://link.springer.com/chapter/10.1007/978-3-319-04447-7_11,"@Inbook{Blackwell2014,
author=""Blackwell, Clive"",
editor=""Blackwell, Clive
and Zhu, Hong"",
title=""Towards a Penetration Testing Framework Using Attack Patterns"",
bookTitle=""Cyberpatterns: Unifying Design Patterns with Security and Attack Patterns"",
year=""2014"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""135--148"",
abstract=""The problems of system security are well known, but no satisfactory methods to resolve them have ever been discovered. One heuristic method is to use a penetration test with the rationale of finding system flaws before malicious attackers. However, this is a craft-based discipline without an adequate theoretical or empirical basis for justifying its activities and results. We show that both the automated tool and skill-based methods of pen testing are unsatisfactory, because we need to provide understandable evidence to clients about their weaknesses and offer actionable plans to fix the critical ones. We use attack patterns to help develop a pen-testing framework to help avoid the limitations of current approaches."",
isbn=""978-3-319-04447-7"",
doi=""10.1007/978-3-319-04447-7_11"",
url=""https://doi.org/10.1007/978-3-319-04447-7_11""
}"
LAPSE+ Static Analysis Security Software: Vulnerabilities Detection in Java EE Applications,10.1007/978-3-642-22333-4_17,2011,Future Information Technology,Pablo Martín Pérez; Joanna Filipiak; José María Sierra,https://link.springer.com/chapter/10.1007/978-3-642-22333-4_17,"@InProceedings{10.1007/978-3-642-22333-4_17,
author=""P{\'e}rez, Pablo Mart{\'i}n
and Filipiak, Joanna
and Sierra, Jos{\'e} Mar{\'i}a"",
editor=""Park, James J.
and Yang, Laurence T.
and Lee, Changhoon"",
title=""LAPSE+ Static Analysis Security Software: Vulnerabilities Detection in Java EE Applications"",
booktitle=""Future Information Technology"",
year=""2011"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""148--156"",
abstract=""This paper presents the study and enhancement of LAPSE, a security software based on the static analysis of code for detecting security vulnerabilities in Java EE Applications. LAPSE was developed by the SUIF Compiler Group of Stanford University as a plugin for Eclipse Java IDE. The latest stable release of the plugin, LAPSE 2.5.6, dates from 2006, and it is obsolete in terms of the number of vulnerabilities detected and its integration with new versions of Eclipse. This paper focuses on introducing LAPSE+, an enhanced version of LAPSE 2.5.6. This new version of the plugin extends the functionality of the previous one, being updated to work with Eclipse Helios, providing a wider catalog of vulnerabilities and improvements for code analysis. In addition, the paper introduces a command-line version of LAPSE+ to make this tool independent of Eclipse Java IDE. This command-line version features the generation of XML reports of the potential vulnerabilities detected in the application."",
isbn=""978-3-642-22333-4""
}"
"Software, Vendors and Reputation: An Analysis of the Dilemma in Creating Secure Software",10.1007/978-3-642-25283-9_23,2011,Trusted Systems,Craig S. Wright,https://link.springer.com/chapter/10.1007/978-3-642-25283-9_23,"@InProceedings{10.1007/978-3-642-25283-9_23,
author=""Wright, Craig S."",
editor=""Chen, Liqun
and Yung, Moti"",
title=""Software, Vendors and Reputation: An Analysis of the Dilemma in Creating Secure Software"",
booktitle=""Trusted Systems"",
year=""2011"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""346--360"",
abstract=""Market models for software vulnerabilities have been disparaged in the past citing how these do little to lower the risk of insecure software. This leads to the common call for yet more legislation against vendors and other producers in order to lower the risk of insecure software. We argue that the call for nationalized intervention does not decrease risk, but rather the user of software has an economic choice in selecting features over security. In this paper, we investigate the economic impact of various decisions as a means of determining the optimal distribution of costs and liability when applied to information security and in particular when assigning costs in software engineering. The users of a software product act rationally when weighing software risks and costs. The choice of delivering features and averting risk is not an option demanded by the end user. After all, it is of little value to increase the cost per unit of software if this means that users purchase the alternative product with more features. We argue that the market models proposed are flawed and not the concept of a market itself."",
isbn=""978-3-642-25283-9""
}"
Combined Attacks and Countermeasures,10.1007/978-3-642-12510-2_10,2010,Smart Card Research and Advanced Application,Eric Vetillard; Anthony Ferrari,https://link.springer.com/chapter/10.1007/978-3-642-12510-2_10,"@InProceedings{10.1007/978-3-642-12510-2_10,
author=""Vetillard, Eric
and Ferrari, Anthony"",
editor=""Gollmann, Dieter
and Lanet, Jean-Louis
and Iguchi-Cartigny, Julien"",
title=""Combined Attacks and Countermeasures"",
booktitle=""Smart Card Research and Advanced Application"",
year=""2010"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""133--147"",
abstract=""Logical attacks on smart cards have been used for many years, but their attack potential is hindered by the processes used by issuers to verify the validity of code, in particular bytecode verification. More recently, the idea has emerged to combine logical attacks with a physical attack, in order to evade bytecode verification. We present practical work done recently on this topic, as well as some countermeasures that can be put in place against such attacks, and how they can be evaluated by security laboratories."",
isbn=""978-3-642-12510-2""
}"
"Web Services Threats, Vulnerabilities, and Countermeasures",10.1007/978-3-540-87742-4_3,2009,Security for Web Services and Service-Oriented Architectures,Elisa Bertino; Lorenzo D. Martino; ... Anna C. Squicciarini,https://link.springer.com/chapter/10.1007/978-3-540-87742-4_3,"@Inbook{Bertino2010,
author=""Bertino, Elisa
and Martino, Lorenzo D.
and Paci, Federica
and Squicciarini, Anna C."",
title=""Web Services Threats, Vulnerabilities, and Countermeasures"",
bookTitle=""Security for Web Services and Service-Oriented Architectures"",
year=""2010"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""25--44"",
abstract=""Securing a Web service requires us to protect, as far as possible, all of its basic components, shown in Figure 3.1, and their interactions, along with the Web service life cycle, from the design to the operational phase. This is a complex and difficult task, due to the vulnerabilities which each software component may have, the large number of attacks that can eventually exploit the vulnerabilities of a specific component, and to the interactions between the components themselves. It requires us to combine and enhance methods, tools, and techniques for computers, networks, distributed systems, and application security and adopt an engineered security process. Such an engineered process consists of detailed plans and designs for security features and controls that support the delivery of solutions satisfying not only functional requirements, but also preventing misuse and malicious behavior."",
isbn=""978-3-540-87742-4"",
doi=""10.1007/978-3-540-87742-4_3"",
url=""https://doi.org/10.1007/978-3-540-87742-4_3""
}"
OSS security certification,10.1007/978-0-387-77324-7_5,2009,Open Source Systems Security Certification,Ernesto Damiani; Claudio Agostino Ardagna; Nabil El Ioini,https://link.springer.com/chapter/10.1007/978-0-387-77324-7_5,"@Inbook{Damiani2009,
author=""Damiani, Ernesto
and Ardagna, Claudio Agostino
and El Ioini, Nabil"",
title=""OSS security certification"",
bookTitle=""Open Source Systems Security Certification"",
year=""2009"",
publisher=""Springer US"",
address=""Boston, MA"",
pages=""1--36"",
isbn=""978-0-387-77324-7"",
doi=""10.1007/978-0-387-77324-7_5"",
url=""https://doi.org/10.1007/978-0-387-77324-7_5""
}"
Secure Systems Design,10.1007/978-1-4302-0377-3_2,2007,Foundations of Security,,https://link.springer.com/chapter/10.1007/978-1-4302-0377-3_2,"@Inbook{Daswani2007,
title=""Secure Systems Design"",
bookTitle=""Foundations of Security: What Every Programmer Needs to Know"",
year=""2007"",
publisher=""Apress"",
address=""Berkeley, CA"",
pages=""25--60"",
abstract=""This chapter examines how to architect and design systems that accomplish the security goals covered in Chapter 1. We first spend some time discussing prototypical threats to software, and then discuss how to design security into applications from the beginning. We focus on a number of high-level approaches and trade-offs, and discuss how security is sometimes perceived to be at odds with factors such as convenience and usability. We also discuss the concept of ``security by obscurity'' and why it is usually not sufficient. We look at security as a game of economics and risk management. Some of the approaches and design principles we cover in this chapter and the next were for the first time described in Jerome Saltzer and Michael Schroeder's paper, ``The Protection of Information in Computer Systems''---we bring them to life and illustrate them with many real-world examples."",
isbn=""978-1-4302-0377-3"",
doi=""10.1007/978-1-4302-0377-3_2"",
url=""https://doi.org/10.1007/978-1-4302-0377-3_2""
}"
Optimizing Hyperparameters for Improvement in Software Vulnerability Prediction Models,10.1007/978-981-19-1018-0_46,2022,Advances in Distributed Computing and Machine Learning,Deepali Bassi; Hardeep Singh,https://link.springer.com/chapter/10.1007/978-981-19-1018-0_46,"@InProceedings{10.1007/978-981-19-1018-0_46,
author=""Bassi, Deepali
and Singh, Hardeep"",
editor=""Rout, Rashmi Ranjan
and Ghosh, Soumya Kanti
and Jana, Prasanta K.
and Tripathy, Asis Kumar
and Sahoo, Jyoti Prakash
and Li, Kuan-Ching"",
title=""Optimizing Hyperparameters for Improvement in Software Vulnerability Prediction Models"",
booktitle=""Advances in Distributed Computing and Machine Learning"",
year=""2022"",
publisher=""Springer Nature Singapore"",
address=""Singapore"",
pages=""533--544"",
abstract=""Software vulnerability provides the gateway for attackers to breach the confidentiality, integrity, and availability of information systems. Therefore, the prediction of software vulnerability is an important concern for developing secure software. Software vulnerability prediction (SVP) models predict whether a software component is vulnerable or not. Studies have shown that the model's efficiency is dependent on its hyperparameter settings. In order to build an effective model, their hyperparameters need to be optimized. In our study, we intend to find the impact of hyperparameter optimization on the performance of SVP models. We performed the experiments using python hyperparameter optimization framework `Optuna' to find the best hyperparameters for eight machine learning algorithms on three public datasets Drupal, Moodle and PHPMyAdmin. We found the p-values to be less than 0.05 in 19 out of 24 cases. Hence, hyperparameter optimization is 79.17{\%} effective in increasing the efficacy of SVP models in our study."",
isbn=""978-981-19-1018-0""
}"
"Crowdsourcing Software Vulnerability Discovery: Models, Dimensions, and Directions",10.1007/978-3-030-90888-1_1,2021,Web Information Systems Engineering – WISE 2021,Mortada Al-Banna; Boualem Benatallah; ... Salil Kanhere,https://link.springer.com/chapter/10.1007/978-3-030-90888-1_1,"@InProceedings{10.1007/978-3-030-90888-1_1,
author=""Al-Banna, Mortada
and Benatallah, Boualem
and Barukh, Moshe C.
and Bertino, Elisa
and Kanhere, Salil"",
editor=""Zhang, Wenjie
and Zou, Lei
and Maamar, Zakaria
and Chen, Lu"",
title=""Crowdsourcing Software Vulnerability Discovery: Models, Dimensions, and Directions"",
booktitle=""Web Information Systems Engineering -- WISE 2021"",
year=""2021"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""3--13"",
abstract=""Software systems prove indispensable amongst a variety of fields. With our increasing reliance on them coupled with their heightened complexity, the demand for protection increases as well. In this article, we explore how crowdsourcing could be used for vulnerability discovery. We examine the models of crowdsourcing that has been applied in vulnerability discovery, identify dimensions of this crowdsourced task, and discuss applicable concerns and future research directions."",
isbn=""978-3-030-90888-1""
}"
IT2F-SEDNN: an interval type-2 fuzzy logic-based stacked ensemble deep learning approach for early phase software dependability analysis,10.1007/s11334-024-00563-4,2024,Innovations in Systems and Software Engineering,Subhashis Chatterjee; Deepjyoti Saha,https://link.springer.com/article/10.1007/s11334-024-00563-4,"@Article{Chatterjee2025,
author=""Chatterjee, Subhashis
and Saha, Deepjyoti"",
title=""IT2F-SEDNN: an interval type-2 fuzzy logic-based stacked ensemble deep learning approach for early phase software dependability analysis"",
journal=""Innovations in Systems and Software Engineering"",
year=""2025"",
month=""Jun"",
day=""01"",
volume=""21"",
number=""2"",
pages=""727--746"",
abstract=""The growing size, complexity of software systems, and complex development process pose a difficult challenge in predicting dependability attributes during the early stages of development. Key attributes such as reliability, security, maintainability, availability, and aging play a critical role in defining the dependability of software modules. Therefore, accurate prediction of dependability attributes is of utmost importance. Existing prediction methodologies often rely on machine learning models. Software metrics are used in these studies as input for predicting dependability attributes. However, metric values can become uncertain, and machine learning models cannot address uncertainty issues of metric values. Due to the presence of uncertainty, the vulnerability or different types of defects may get overlooked during the early phase of development. Addressing this issue, this study proposes a type-2 fuzzy logic (T2FL)-based model to estimate dependability attributes effectively during an early phase. The proposed approach has leveraged human expertise in developing a rule base for the proposed T2FL model. A neural network-based approach called stacked deep neural network (SDNN) has also been proposed to analyze the impact of dependability attributes on software modules. SDNN uses the estimated dependability attributes as input, trains various architecture-based deep neural networks to classify software modules, and ensemble them to achieve better and more robust solutions. Two simulation studies have been carried out to validate the proposed methodology. The performance of the proposed approach achieves better accuracy than other baseline models. This proposed approach aims to assist software developers in developing dependable software in scheduled time with optimized costs."",
issn=""1614-5054"",
doi=""10.1007/s11334-024-00563-4"",
url=""https://doi.org/10.1007/s11334-024-00563-4""
}"
"BugPrioritizeAI for multimodal test case prioritisation using bug reports, code changes, and test metadata",10.1038/s41598-025-31851-z,2025,Scientific Reports,P. Kalyani; C. Prakasa Rao; ... Purna Chandra Rao Kandimalla,https://link.springer.com/article/10.1038/s41598-025-31851-z,"@Article{Kalyani2025,
author=""Kalyani, P.
and Rao, C. Prakasa
and Goparaju, Bhargavi
and Babu, Kommu Kishore
and Kandimalla, Purna Chandra Rao"",
title=""BugPrioritizeAI for multimodal test case prioritisation using bug reports, code changes, and test metadata"",
journal=""Scientific Reports"",
year=""2025"",
month=""Dec"",
day=""08"",
volume=""16"",
number=""1"",
pages=""1539"",
abstract=""Regression testing is necessary in modern software development with continuous integration and delivery, but running it in full after every change is often too expensive. Test case prioritisation (TCP) can aid this process by prioritising test cases that reveal faults earliest. Still, current TCP approaches focus on single information sources (coverage, change history, and/or past faults) and do not model semantic relationships across software artefacts. Meanwhile, current deep learning--based methods still suffer from cross--project generalisation and misinterpretation. These gaps can be alleviated with BugPrioritizeAI, an explainable, multimodal TCP framework we propose that jointly uses bug reports, source code changes, and test metadata to rank test cases. At the core of BugTestRankNet is a component responsible for generating a priority score that allows for quicker fault detection. BugPrioritizeAI is an AI-enhanced approach to bug triage that operates at the bug report level and ranks potentially buggy files in the bug repo using textual features. This framework reduces testing overhead and provides SHAP-based explanations, giving developers insight into the reasons for prioritising individual test cases."",
issn=""2045-2322"",
doi=""10.1038/s41598-025-31851-z"",
url=""https://doi.org/10.1038/s41598-025-31851-z""
}"
Deep learning for code generation: a survey,10.1007/s11432-023-3956-3,2024,Science China Information Sciences,Huangzhao Zhang; Kechi Zhang; ... Zhi Jin,https://link.springer.com/article/10.1007/s11432-023-3956-3,"@Article{Zhang2024,
author=""Zhang, Huangzhao
and Zhang, Kechi
and Li, Zhuo
and Li, Jia
and Li, Jia
and Li, Yongmin
and Zhao, Yunfei
and Zhu, Yuqi
and Liu, Fang
and Li, Ge
and Jin, Zhi"",
title=""Deep learning for code generation: a survey"",
journal=""Science China Information Sciences"",
year=""2024"",
month=""Aug"",
day=""20"",
volume=""67"",
number=""9"",
pages=""191101"",
abstract=""In the past decade, thanks to the powerfulness of deep-learning techniques, we have witnessed a whole new era of automated code generation. To sort out developments, we have conducted a comprehensive review of solutions to deep learning-based code generation. In this survey, we generally formalize the pipeline and procedure of code generation and categorize existing solutions according to taxonomy from perspectives of architecture, model-agnostic enhancing strategy, metrics, and tasks. In addition, we outline the challenges faced by current dominant large models and list several plausible directions for future research. We hope that this survey may provide handy guidance to understanding, utilizing, and developing deep learning-based code-generation techniques for researchers and practitioners."",
issn=""1869-1919"",
doi=""10.1007/s11432-023-3956-3"",
url=""https://doi.org/10.1007/s11432-023-3956-3""
}"
Security Professional Skills Representation in Bug Bounty Programs and Processes,10.1007/978-3-030-76352-7_33,2021,Service-Oriented Computing  – ICSOC 2020 Workshops,Sara Mumtaz; Carlos Rodriguez; Shayan Zamanirad,https://link.springer.com/chapter/10.1007/978-3-030-76352-7_33,"@InProceedings{10.1007/978-3-030-76352-7_33,
author=""Mumtaz, Sara
and Rodriguez, Carlos
and Zamanirad, Shayan"",
editor=""Hacid, Hakim
and Outay, Fatma
and Paik, Hye-young
and Alloum, Amira
and Petrocchi, Marinella
and Bouadjenek, Mohamed Reda
and Beheshti, Amin
and Liu, Xumin
and Maaradji, Abderrahmane"",
title=""Security Professional Skills Representation in Bug Bounty Programs and Processes"",
booktitle=""Service-Oriented Computing  -- ICSOC 2020 Workshops"",
year=""2021"",
publisher=""Springer International Publishing"",
address=""Cham"",
pages=""334--348"",
abstract=""The ever-increasing amount of security vulnerabilities discovered and reported in recent years are significantly raising the concerns of organizations and businesses regarding the potential risks of data breaches and attacks that may affect their assets (e.g. the cases of Yahoo and Equifax). Consequently, organizations, particularly those suffering from these attacks are relying on the job of security professionals. Unfortunately, due to a wide range of cyber-attacks, the identification of such skilled security professional is a challenging task. One such reason is the ``skill gap'' problem, a mismatch between the security professionals' skills and the skills required for the job (vulnerability discovery in our case). In this work, we focus on platforms and processes for crowdsourced security vulnerability discovery (bug bounty programs) and present a framework for the representation of security professional skills. More specifically, we propose an embedding-based clustering approach that exploits multiple and rich information available across the web (e.g. job postings, vulnerability discovery reports) to translate the security professional skills into a set of relevant skills using clustering information in a semantic vector space. The effectiveness of this approach is demonstrated through experiments, and the results show that our approach works better than baseline solutions in selecting the appropriate security professionals."",
isbn=""978-3-030-76352-7""
}"
Attack Vectors,10.1007/978-1-4842-8236-6_6,2022,Cloud Attack Vectors,Morey J. Haber; Brian Chappell; Christopher Hills,https://link.springer.com/chapter/10.1007/978-1-4842-8236-6_6,"@Inbook{Haber2022,
author=""Haber, Morey J.
and Chappell, Brian
and Hills, Christopher"",
title=""Attack Vectors"",
bookTitle=""Cloud Attack Vectors: Building Effective Cyber-Defense Strategies to Protect Cloud Resources "",
year=""2022"",
publisher=""Apress"",
address=""Berkeley, CA"",
pages=""117--219"",
abstract=""The first step in establishing a secure cloud environment is understanding the threats it's likely to encounter. The attack vectors that your environment will be subjected to will form the to-do list of the areas you need to secure first and foremost. This can seem like a daunting task, even for those who are well versed in the subject matter or particularly for those who are well versed in the immensity of the space. You need to avoid analysis paralysis, getting caught in a loop of trying to address everything at once. We'll come back to that later in the book, but for now, the best advice we can give you is to look at the cybersecurity frameworks that exist; many intelligent people have thought about the attack surface and identified the attack vectors, so you don't have to. Treat these as toolkits, guidelines, and, in some cases, gospel in understanding cloud attack vectors."",
isbn=""978-1-4842-8236-6"",
doi=""10.1007/978-1-4842-8236-6_6"",
url=""https://doi.org/10.1007/978-1-4842-8236-6_6""
}"
Idea: Interactive Support for Secure Software Development,10.1007/978-3-642-19125-1_19,2011,Engineering Secure Software and Systems,Jing Xie; Bill Chu; Heather Richter Lipford,https://link.springer.com/chapter/10.1007/978-3-642-19125-1_19,"@InProceedings{10.1007/978-3-642-19125-1_19,
author=""Xie, Jing
and Chu, Bill
and Richter Lipford, Heather"",
editor=""Erlingsson, {\'U}lfar
and Wieringa, Roel
and Zannone, Nicola"",
title=""Idea: Interactive Support for Secure Software Development"",
booktitle=""Engineering Secure Software and Systems"",
year=""2011"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""248--255"",
abstract=""Security breaches are often caused by software bugs, which may frequently be due to developers' memory lapses, lack of attention/focus, and knowledge gaps. Developers have to contend with heavy cognitive loads to deal with issues such as functional requirements, deadlines, security, and runtime performance. We propose to integrate secure programming support seamlessly into Integrated Development Environments (IDEs) in order to help developers cope with their heavy cognitive load and reduce security errors. As proof of concept, we developed a plug-in for Eclipse's Java development environment. Developers will be alerted to potential secure programming concerns, such as input validation, data encoding, and access control as well as encouraged to comply with secure coding standards."",
isbn=""978-3-642-19125-1""
}"
A Comparison of Market Approaches to Software Vulnerability Disclosure,10.1007/11766155_21,2006,Emerging Trends in Information and Communication Security,Rainer Böhme,https://link.springer.com/chapter/10.1007/11766155_21,"@InProceedings{10.1007/11766155_21,
author=""B{\""o}hme, Rainer"",
editor=""M{\""u}ller, G{\""u}nter"",
title=""A Comparison of Market Approaches to Software Vulnerability Disclosure"",
booktitle=""Emerging Trends in Information and Communication Security"",
year=""2006"",
publisher=""Springer Berlin Heidelberg"",
address=""Berlin, Heidelberg"",
pages=""298--311"",
abstract=""Practical computer (in)security is largely driven by the existence of and knowledge about vulnerabilities, which can be exploited to breach security mechanisms. Although the discussion on details of responsible vulnerability disclosure is controversial, there is a sort of consensus that better information sharing is socially beneficial. In the recent years we observe the emerging of ``vulnerability markets'' as means to stimulate exchange of information. However, this term subsumes a broad range of different concepts, which are prone to confusion. This paper provides a first attempt to structure the field by (1) proposing a terminology for distinct concepts and (2) defining criteria to allow for a better comparability between different approaches. An application of this framework on four market types shows notable differences between the approaches."",
isbn=""978-3-540-34642-5""
}"
Mobile Health from Developers’ Perspective,10.1007/s42979-023-02455-z,2023,SN Computer Science,Pedro Almir M. Oliveira; Evilasio Costa Junior; ... Pedro A. Santos Neto,https://link.springer.com/article/10.1007/s42979-023-02455-z,"@Article{Oliveira2023,
author=""Oliveira, Pedro Almir M.
and Junior, Evilasio Costa
and Andrade, Rossana M. C.
and Santos, Ismayle S.
and Neto, Pedro A. Santos"",
title=""Mobile Health from Developers' Perspective"",
journal=""SN Computer Science"",
year=""2023"",
month=""Dec"",
day=""26"",
volume=""5"",
number=""1"",
pages=""132"",
abstract=""This paper extends an initial investigation of eHealth from the developers' perspective. In this extension, our focus is on mobile health data. Despite the significant potential of this development area, few studies try to understand the challenges faced by these professionals. This perspective is relevant to identify the most used technologies and future perspectives for research investigation. Using a KDD-based process, this work analyzed eHealth and mHealth discussions from Stack Overflow (SO) to comprehend this developers' community. We got and processed 6082 eHealth and 1832 mHealth questions. The most discussed topics include manipulating medical images, electronic health records with the HL7 standard, and frameworks to support mobile health (mHealth) development. Concerning the challenges faced by these developers, there is a lack of understanding of the DICOM and HL7 standards, the absence of data repositories for testing, and the monitoring of health data in the background using mobile and wearable devices. Our results also indicate that discussions have grown mainly on mHealth, primarily due to monitoring health data through wearables and about how to optimize resource consumption during health-monitoring."",
issn=""2661-8907"",
doi=""10.1007/s42979-023-02455-z"",
url=""https://doi.org/10.1007/s42979-023-02455-z""
}"
Security Awareness and Skills Training,10.1007/979-8-8688-0506-6_14,2024,Critical Security Controls for Effective Cyber Defense,Dr. Jason Edwards,https://link.springer.com/chapter/10.1007/979-8-8688-0506-6_14,"@Inbook{Edwards2024,
author=""Edwards, Dr. Jason"",
title=""Security Awareness and Skills Training"",
bookTitle=""Critical Security Controls for Effective Cyber Defense: A Comprehensive Guide to CIS 18 Controls"",
year=""2024"",
publisher=""Apress"",
address=""Berkeley, CA"",
pages=""405--434"",
abstract=""In the modern digital landscape, the human element remains a pivotal aspect of cybersecurity. While advanced technological defenses are essential, the actions and behaviors of individuals within an organization can significantly influence its security posture. A robust security awareness and skills training program is fundamental to cultivating a security-conscious workforce capable of recognizing and mitigating cyber threats. This approach empowers employees with the knowledge and skills to protect sensitive information and fosters a culture of vigilance and accountability across all enterprise levels."",
isbn=""979-8-8688-0506-6"",
doi=""10.1007/979-8-8688-0506-6_14"",
url=""https://doi.org/10.1007/979-8-8688-0506-6_14""
}"
