title,URL,BibTeX,bibtex_type,bibtex_title,bibtex_year,language,C3_label,C4_label,C5_label
The impact of code review on architectural changes,https://ieeexplore.ieee.org/abstract/document/8697147/,"@article{paixao2019impact,
  title={The impact of code review on architectural changes},
  author={Paixao, Matheus and Krinke, Jens and Han, DongGyun and Ragkhitwetsagul, Chaiyong and Harman, Mark},
  journal={IEEE Transactions on Software Engineering},
  volume={47},
  number={5},
  pages={1041--1059},
  year={2019},
  publisher={IEEE}
}",article,The impact of code review on architectural changes,2019,en,0,,
Exploring the impact of code review factors on the code review comment generation,https://link.springer.com/article/10.1007/s10515-024-00469-2,"@article{lu2024exploring,
  title={Exploring the impact of code review factors on the code review comment generation},
  author={Lu, Junyi and Li, Zhangyi and Shen, Chenjie and Yang, Li and Zuo, Chun},
  journal={Automated Software Engineering},
  volume={31},
  number={2},
  pages={71},
  year={2024},
  publisher={Springer}
}",article,Exploring the impact of code review factors on the code review comment generation,2024,en,1,1,0
"The impact of code review coverage and code review participation on software quality: A case study of the qt, vtk, and itk projects",https://dl.acm.org/doi/abs/10.1145/2597073.2597076,"@inproceedings{mcintosh2014impact,
  title={The impact of code review coverage and code review participation on software quality: A case study of the qt, vtk, and itk projects},
  author={McIntosh, Shane and Kamei, Yasutaka and Adams, Bram and Hassan, Ahmed E},
  booktitle={Proceedings of the 11th working conference on mining software repositories},
  pages={192--201},
  year={2014}
}",inproceedings,"The impact of code review coverage and code review participation on software quality: A case study of the qt, vtk, and itk projects",2014,en,0,,
Information needs in contemporary code review,https://dl.acm.org/doi/abs/10.1145/3274404,"@article{pascarella2018information,
  title={Information needs in contemporary code review},
  author={Pascarella, Luca and Spadini, Davide and Palomba, Fabio and Bruntink, Magiel and Bacchelli, Alberto},
  journal={Proceedings of the ACM on human-computer interaction},
  volume={2},
  number={CSCW},
  pages={1--27},
  year={2018},
  publisher={ACM New York, NY, USA}
}",article,Information needs in contemporary code review,2018,en,0,,
Investigating technical and non-technical factors influencing modern code review,https://link.springer.com/article/10.1007/s10664-015-9366-8,"@article{baysal2016investigating,
  title={Investigating technical and non-technical factors influencing modern code review},
  author={Baysal, Olga and Kononenko, Oleksii and Holmes, Reid and Godfrey, Michael W},
  journal={Empirical Software Engineering},
  volume={21},
  number={3},
  pages={932--959},
  year={2016},
  publisher={Springer}
}",article,Investigating technical and non-technical factors influencing modern code review,2016,en,0,,
A review of peer code review in higher education,https://dl.acm.org/doi/abs/10.1145/3403935,"@article{indriasari2020review,
  title={A review of peer code review in higher education},
  author={Indriasari, Theresia Devi and Luxton-Reilly, Andrew and Denny, Paul},
  journal={ACM Transactions on Computing Education (TOCE)},
  volume={20},
  number={3},
  pages={1--25},
  year={2020},
  publisher={ACM New York, NY, USA}
}",article,A review of peer code review in higher education,2020,en,0,,
Destructive criticism in software code review impacts inclusion,https://dl.acm.org/doi/abs/10.1145/3555183,"@article{gunawardena2022destructive,
  title={Destructive criticism in software code review impacts inclusion},
  author={Gunawardena, Sanuri Dananja and Devine, Peter and Beaumont, Isabelle and Garden, Lola Piper and Murphy-Hill, Emerson and Blincoe, Kelly},
  journal={Proceedings of the ACM on Human-Computer Interaction},
  volume={6},
  number={CSCW2},
  pages={1--29},
  year={2022},
  publisher={ACM New York, NY, USA}
}",article,Destructive criticism in software code review impacts inclusion,2022,en,0,,
Modern code review: a case study at google,https://dl.acm.org/doi/abs/10.1145/3183519.3183525,"@inproceedings{sadowski2018modern,
  title={Modern code review: a case study at google},
  author={Sadowski, Caitlin and S{\""o}derberg, Emma and Church, Luke and Sipko, Michal and Bacchelli, Alberto},
  booktitle={Proceedings of the 40th international conference on software engineering: Software engineering in practice},
  pages={181--190},
  year={2018}
}",inproceedings,Modern code review: a case study at google,2018,en,0,,
Code review automation: strengths and weaknesses of the state of the art,https://ieeexplore.ieee.org/abstract/document/10378848/,"@article{tufano2024code,
  title={Code review automation: strengths and weaknesses of the state of the art},
  author={Tufano, Rosalia and Dabi{\'c}, Ozren and Mastropaolo, Antonio and Ciniselli, Matteo and Bavota, Gabriele},
  journal={IEEE Transactions on Software Engineering},
  volume={50},
  number={2},
  pages={338--353},
  year={2024},
  publisher={IEEE}
}",article,Code review automation: strengths and weaknesses of the state of the art,2024,en,1,1,0
Who should review my code? a file location-based code-reviewer recommendation approach for modern code review,https://ieeexplore.ieee.org/abstract/document/7081824/,"@inproceedings{thongtanunam2015should,
  title={Who should review my code? a file location-based code-reviewer recommendation approach for modern code review},
  author={Thongtanunam, Patanamon and Tantithamthavorn, Chakkrit and Kula, Raula Gaikovina and Yoshida, Norihiro and Iida, Hajimu and Matsumoto, Ken-ichi},
  booktitle={2015 IEEE 22nd international conference on software analysis, evolution, and reengineering (SANER)},
  pages={141--150},
  year={2015},
  organization={IEEE}
}",inproceedings,Who should review my code? a file location-based code-reviewer recommendation approach for modern code review,2015,en,1,1,0
Understanding Practitioners' Expectations on Clear Code Review Comments,https://dl.acm.org/doi/abs/10.1145/3728931,"@article{chen2025understanding,
  title={Understanding Practitionersâ Expectations on Clear Code Review Comments},
  author={Chen, Junkai and Li, Zhenhao and Mao, Qiheng and Hu, Xing and Liu, Kui and Xia, Xin},
  journal={Proceedings of the ACM on Software Engineering},
  volume={2},
  number={ISSTA},
  pages={1257--1279},
  year={2025},
  publisher={ACM New York, NY, USA}
}",article,Understanding Practitionersâ Expectations on Clear Code Review Comments,2025,en,1,1,0
Understanding automated code review process and developer experience in industry,https://dl.acm.org/doi/abs/10.1145/3540250.3558950,"@inproceedings{kim2022understanding,
  title={Understanding automated code review process and developer experience in industry},
  author={Kim, Hyungjin and Kwon, Yonghwi and Joh, Sangwoo and Kwon, Hyukin and Ryou, Yeonhee and Kim, Taeksu},
  booktitle={Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering},
  pages={1398--1407},
  year={2022}
}",inproceedings,Understanding automated code review process and developer experience in industry,2022,en,1,1,0
Teaching the process of code review,https://ieeexplore.ieee.org/abstract/document/1290480/,"@inproceedings{stalhane2004teaching,
  title={Teaching the process of code review},
  author={Stalhane, Tor and Kutay, Cat and Al-Kilidar, Hiyam and Jeffery, Ross},
  booktitle={2004 Australian Software Engineering Conference. Proceedings.},
  pages={271--278},
  year={2004},
  organization={IEEE}
}",inproceedings,Teaching the process of code review,2004,en,0,,
Automatically recommending peer reviewers in modern code review,https://ieeexplore.ieee.org/abstract/document/7328331/,"@article{zanjani2015automatically,
  title={Automatically recommending peer reviewers in modern code review},
  author={Zanjani, Motahareh Bahrami and Kagdi, Huzefa and Bird, Christian},
  journal={IEEE Transactions on Software Engineering},
  volume={42},
  number={6},
  pages={530--543},
  year={2015},
  publisher={IEEE}
}",article,Automatically recommending peer reviewers in modern code review,2015,en,1,1,0
Code Review is just reviewing code? A qualitative study with practitioners in industry,https://dl.acm.org/doi/abs/10.1145/3474624.3477063,"@inproceedings{cunha2021code,
  title={Code Review is just reviewing code? A qualitative study with practitioners in industry},
  author={Cunha, Atac{\'\i}lio and Conte, Tayana and Gadelha, Bruno},
  booktitle={Proceedings of the XXXV Brazilian Symposium on Software Engineering},
  pages={269--274},
  year={2021}
}",inproceedings,Code Review is just reviewing code? A qualitative study with practitioners in industry,2021,en,0,,
Learning to predict code review completion time in modern code review,https://link.springer.com/article/10.1007/s10664-023-10300-3,"@article{chouchen2023learning,
  title={Learning to predict code review completion time in modern code review},
  author={Chouchen, Moataz and Ouni, Ali and Olongo, Jefferson and Mkaouer, Mohamed Wiem},
  journal={Empirical Software Engineering},
  volume={28},
  number={4},
  pages={82},
  year={2023},
  publisher={Springer}
}",article,Learning to predict code review completion time in modern code review,2023,en,1,1,0
Why does code review work for open source software communities?,https://ieeexplore.ieee.org/abstract/document/8812037/,"@inproceedings{alami2019does,
  title={Why does code review work for open source software communities?},
  author={Alami, Adam and Cohn, Marisa Leavitt and W{\k{a}}sowski, Andrzej},
  booktitle={2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)},
  pages={1073--1083},
  year={2019},
  organization={IEEE}
}",inproceedings,Why does code review work for open source software communities?,2019,en,0,,
Analyzing gerrit code review parameters with bicho,https://eceasst.org/index.php/eceasst/article/view/2107,"@article{gonzalez2014analyzing,
  title={Analyzing gerrit code review parameters with bicho},
  author={Gonzalez-Barahona, Jesus and Izquierdo-Cortazar, Daniel and Robles, Gregorio and del Castillo, Alvaro},
  journal={Electronic Communications of the EASST},
  volume={65},
  year={2014}
}",article,Analyzing gerrit code review parameters with bicho,2014,en,1,1,0
Leveraging Reviewer Experience in Code Review Comment Generation,https://arxiv.org/abs/2409.10959,"@article{lin2024leveraging,
  title={Leveraging Reviewer Experience in Code Review Comment Generation},
  author={Lin, Hong Yi and Thongtanunam, Patanamon and Treude, Christoph and Godfrey, Michael W and Liu, Chunhua and Charoenwet, Wachiraphan},
  journal={arXiv preprint arXiv:2409.10959},
  year={2024}
}",article,Leveraging Reviewer Experience in Code Review Comment Generation,2024,en,1,1,0
Interpersonal conflicts during code review: Developers' experience and practices,https://dl.acm.org/doi/abs/10.1145/3512945,"@article{wurzel2022interpersonal,
  title={Interpersonal conflicts during code review: Developers' experience and practices},
  author={Wurzel Gon{\c{c}}alves, Pavl{\'\i}na and {\c{C}}alikli, G{\""u}l and Bacchelli, Alberto},
  journal={Proceedings of the ACM on Human-Computer Interaction},
  volume={6},
  number={CSCW1},
  pages={1--33},
  year={2022},
  publisher={ACM New York, NY, USA}
}",article,Interpersonal conflicts during code review: Developers' experience and practices,2022,en,0,,
Automated code review comment classification to improve modern code reviews,https://link.springer.com/chapter/10.1007/978-3-031-04115-0_3,"@inproceedings{ochodek2022automated,
  title={Automated code review comment classification to improve modern code reviews},
  author={Ochodek, Miroslaw and Staron, Miroslaw and Meding, Wilhelm and S{\""o}der, Ola},
  booktitle={International Conference on Software Quality},
  pages={23--40},
  year={2022},
  organization={Springer}
}",inproceedings,Automated code review comment classification to improve modern code reviews,2022,en,1,1,0
Enhancing code review for improved code quality with language model-driven approaches,https://yorkspace.library.yorku.ca/items/8e097293-ddf8-422b-b00e-efdb9fa752cc,"@article{rahman2024enhancing,
  title={Enhancing code review for improved code quality with language model-driven approaches},
  author={Rahman, Shadikur},
  year={2024}
}",article,Enhancing code review for improved code quality with language model-driven approaches,2024,en,1,1,0
Using a balanced scorecard to identify opportunities to improve code review effectiveness: An industrial experience report,https://link.springer.com/article/10.1007/s10664-021-10038-w,"@article{hasan2021using,
  title={Using a balanced scorecard to identify opportunities to improve code review effectiveness: An industrial experience report},
  author={Hasan, Masum and Iqbal, Anindya and Islam, Mohammad Rafid Ul and Rahman, AJM Imtiajur and Bosu, Amiangshu},
  journal={Empirical Software Engineering},
  volume={26},
  number={6},
  pages={129},
  year={2021},
  publisher={Springer}
}",article,Using a balanced scorecard to identify opportunities to improve code review effectiveness: An industrial experience report,2021,en,1,1,0
Towards understanding code review practices for infrastructure-as-code: An empirical study on OpenStack projects,https://link.springer.com/article/10.1007/s10664-025-10654-w,"@article{bessghaier2025towards,
  title={Towards understanding code review practices for infrastructure-as-code: An empirical study on OpenStack projects},
  author={Bessghaier, Narjes and Ouni, Ali and Sayagh, Mohammed and Chouchen, Moataz and Mkaouer, Mohamed Wiem},
  journal={Empirical Software Engineering},
  volume={30},
  number={3},
  pages={106},
  year={2025},
  publisher={Springer}
}",article,Towards understanding code review practices for infrastructure-as-code: An empirical study on OpenStack projects,2025,en,0,,
Can static analysis tools find more defects? a qualitative study of design rule violations found by code review,https://link.springer.com/article/10.1007/s10664-022-10232-4,"@article{mehrpour2023can,
  title={Can static analysis tools find more defects? a qualitative study of design rule violations found by code review},
  author={Mehrpour, Sahar and LaToza, Thomas D},
  journal={Empirical Software Engineering},
  volume={28},
  number={1},
  pages={5},
  year={2023},
  publisher={Springer}
}",article,Can static analysis tools find more defects? a qualitative study of design rule violations found by code review,2023,en,1,0,
Primers or reminders? the effects of existing review comments on code review,https://dl.acm.org/doi/abs/10.1145/3377811.3380385,"@inproceedings{spadini2020primers,
  title={Primers or reminders? the effects of existing review comments on code review},
  author={Spadini, Davide and {\c{C}}alikli, G{\""u}l and Bacchelli, Alberto},
  booktitle={Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering},
  pages={1171--1182},
  year={2020}
}",inproceedings,Primers or reminders? the effects of existing review comments on code review,2020,en,0,,
What happens in my code reviews? An investigation on automatically classifying review changes,https://link.springer.com/article/10.1007/s10664-021-10075-5,"@article{fregnan2022happens,
  title={What happens in my code reviews? An investigation on automatically classifying review changes},
  author={Fregnan, Enrico and Petrulio, Fernando and Di Geronimo, Linda and Bacchelli, Alberto},
  journal={Empirical Software Engineering},
  volume={27},
  number={4},
  pages={89},
  year={2022},
  publisher={Springer}
}",article,What happens in my code reviews? An investigation on automatically classifying review changes,2022,en,0,,
Analyzing involvements of reviewers through mining a code review repository,https://ieeexplore.ieee.org/abstract/document/6113052/,"@inproceedings{liang2011analyzing,
  title={Analyzing involvements of reviewers through mining a code review repository},
  author={Liang, Junwei and Mizuno, Osamu},
  booktitle={2011 Joint Conference of the 21st International Workshop on Software Measurement and the 6th International Conference on Software Process and Product Measurement},
  pages={126--132},
  year={2011},
  organization={IEEE}
}",inproceedings,Analyzing involvements of reviewers through mining a code review repository,2011,en,0,,
Investigating the Understandability of Review Comments on Code Change Requests,https://ieeexplore.ieee.org/abstract/document/11025749/,"@inproceedings{rahman2025investigating,
  title={Investigating the Understandability of Review Comments on Code Change Requests},
  author={Rahman, Md Shamimur and Codabux, Zadia and Roy, Chanchal K},
  booktitle={2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)},
  pages={539--551},
  year={2025},
  organization={IEEE}
}",inproceedings,Investigating the Understandability of Review Comments on Code Change Requests,2025,en,1,1,0
Automating modern code review processes with code similarity measurement,https://www.sciencedirect.com/science/article/pii/S0950584924000958,"@article{kartal2024automating,
  title={Automating modern code review processes with code similarity measurement},
  author={Kartal, Yusuf and Akdeniz, E Kaan and {\""O}zkan, Kemal},
  journal={Information and Software Technology},
  volume={173},
  pages={107490},
  year={2024},
  publisher={Elsevier}
}",article,Automating modern code review processes with code similarity measurement,2024,en,0,,
On the effect of code review on code smells,https://arxiv.org/abs/1912.10098,"@article{pascarella2019effect,
  title={On the effect of code review on code smells},
  author={Pascarella, Luca and Spadini, Davide and Palomba, Fabio and Bacchelli, Alberto},
  journal={arXiv preprint arXiv:1912.10098},
  year={2019}
}",article,On the effect of code review on code smells,2019,en,0,,
Towards Practical Defect-Focused Automated Code Review,https://arxiv.org/abs/2505.17928,"@article{lu2025towards,
  title={Towards Practical Defect-Focused Automated Code Review},
  author={Lu, Junyi and Jiang, Lili and Li, Xiaojia and Fang, Jianbing and Zhang, Fengjun and Yang, Li and Zuo, Chun},
  journal={arXiv preprint arXiv:2505.17928},
  year={2025}
}",article,Towards Practical Defect-Focused Automated Code Review,2025,en,1,1,0
First come first served: the impact of file position on code review,https://dl.acm.org/doi/abs/10.1145/3540250.3549177,"@inproceedings{fregnan2022first,
  title={First come first served: the impact of file position on code review},
  author={Fregnan, Enrico and Braz, Larissa and D'Ambros, Marco and {\c{C}}al{\i}kl{\i}, G{\""u}l and Bacchelli, Alberto},
  booktitle={Proceedings of the 30th ACM joint european software engineering conference and symposium on the foundations of software engineering},
  pages={483--494},
  year={2022}
}",inproceedings,First come first served: the impact of file position on code review,2022,en,0,,
Communicative intention in code review questions,https://ieeexplore.ieee.org/abstract/document/8530057/,"@inproceedings{ebert2018communicative,
  title={Communicative intention in code review questions},
  author={Ebert, Felipe and Castor, Fernando and Novielli, Nicole and Serebrenik, Alexander},
  booktitle={2018 IEEE International Conference on Software Maintenance and Evolution (ICSME)},
  pages={519--523},
  year={2018},
  organization={IEEE}
}",inproceedings,Communicative intention in code review questions,2018,en,0,,
Do code review measures explain the incidence of post-release defects? Case study replications and bayesian networks,https://link.springer.com/article/10.1007/s10664-020-09837-4,"@article{krutauz2020code,
  title={Do code review measures explain the incidence of post-release defects? Case study replications and bayesian networks},
  author={Krutauz, Andrey and Dey, Tapajit and Rigby, Peter C and Mockus, Audris},
  journal={Empirical Software Engineering},
  volume={25},
  number={5},
  pages={3323--3356},
  year={2020},
  publisher={Springer}
}",article,Do code review measures explain the incidence of post-release defects? Case study replications and bayesian networks,2020,en,0,,
Generation-based code review automation: How far are we?,https://ieeexplore.ieee.org/abstract/document/10174115/,"@inproceedings{zhou2023generation,
  title={Generation-based code review automation: How far are we?},
  author={Zhou, Xin and Kim, Kisub and Xu, Bowen and Han, DongGyun and He, Junda and Lo, David},
  booktitle={2023 IEEE/ACM 31st International Conference on Program Comprehension (ICPC)},
  pages={215--226},
  year={2023},
  organization={IEEE}
}",inproceedings,Generation-based code review automation: How far are we?,2023,en,1,1,0
Augmenting Code Review with developers' Affect analysis: Systematic Mapping Study and Survey,https://www.diva-portal.org/smash/get/diva2:1538056/FULLTEXT02,"@article{mada2021augmenting,
  title={Augmenting Code Review with developersâ Affect analysis: Systematic Mapping Study and Survey},
  author={Mada, Vaishnavi},
  year={2021}
}",article,Augmenting Code Review with developersâ Affect analysis: Systematic Mapping Study and Survey,2021,en,0,,
Structured unit testable templated code for efficient code review process,https://arxiv.org/abs/1610.05726,"@article{patwardhan2016structured,
  title={Structured unit testable templated code for efficient code review process},
  author={Patwardhan, Amol},
  journal={arXiv preprint arXiv:1610.05726},
  year={2016}
}",article,Structured unit testable templated code for efficient code review process,2016,en,1,1,0
Rebasing in code review considered harmful: A large-scale empirical investigation,https://ieeexplore.ieee.org/abstract/document/8930883/,"@inproceedings{paixao2019rebasing,
  title={Rebasing in code review considered harmful: A large-scale empirical investigation},
  author={Paixao, Matheus and Maia, Paulo Henrique},
  booktitle={2019 19th international working conference on source code analysis and manipulation (SCAM)},
  pages={45--55},
  year={2019},
  organization={IEEE}
}",inproceedings,Rebasing in code review considered harmful: A large-scale empirical investigation,2019,en,0,,
Using peer code review as an educational tool,https://dl.acm.org/doi/abs/10.1145/3341525.3387370,"@inproceedings{song2020using,
  title={Using peer code review as an educational tool},
  author={Song, Xiangyu and Goldstein, Seth Copen and Sakr, Majd},
  booktitle={Proceedings of the 2020 ACM Conference on Innovation and Technology in Computer Science Education},
  pages={173--179},
  year={2020}
}",inproceedings,Using peer code review as an educational tool,2020,en,1,1,0
Codeagent: Autonomous communicative agents for code review,https://arxiv.org/abs/2402.02172,"@article{tang2024codeagent,
  title={Codeagent: Autonomous communicative agents for code review},
  author={Tang, Xunzhu and Kim, Kisub and Song, Yewei and Lothritz, Cedric and Li, Bei and Ezzini, Saad and Tian, Haoye and Klein, Jacques and Bissyand{\'e}, Tegawend{\'e} F},
  journal={arXiv preprint arXiv:2402.02172},
  year={2024}
}",article,Codeagent: Autonomous communicative agents for code review,2024,en,1,1,0
iReview: an intelligent code review evaluation tool using biofeedback,https://ieeexplore.ieee.org/abstract/document/9700337/,"@inproceedings{hijazi2021ireview,
  title={iReview: an intelligent code review evaluation tool using biofeedback},
  author={Hijazi, Haytham and Cruz, Jos{\'e} and Castelhano, Jo{\~a}o and Couceiro, Ricardo and Castelo-Branco, Miguel and de Carvalho, Paulo and Madeira, Henrique},
  booktitle={2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)},
  pages={476--485},
  year={2021},
  organization={IEEE}
}",inproceedings,iReview: an intelligent code review evaluation tool using biofeedback,2021,en,1,1,0
"Individual, social and personnel factors influencing modern code review process",https://ieeexplore.ieee.org/abstract/document/8975708/,"@inproceedings{fatima2019individual,
  title={Individual, social and personnel factors influencing modern code review process},
  author={Fatima, Nargis and Nazir, Sumaira and Chuprat, Suriayati},
  booktitle={2019 IEEE Conference on Open Systems (ICOS)},
  pages={40--45},
  year={2019},
  organization={IEEE}
}",inproceedings,"Individual, social and personnel factors influencing modern code review process",2019,en,0,,
Do explicit review strategies improve code review performance?,https://dl.acm.org/doi/abs/10.1145/3379597.3387509,"@inproceedings{gonccalves2020explicit,
  title={Do explicit review strategies improve code review performance?},
  author={Gon{\c{c}}alves, Pavl{\'\i}na Wurzel and Fregnan, Enrico and Baum, Tobias and Schneider, Kurt and Bacchelli, Alberto},
  booktitle={Proceedings of the 17th international conference on mining software repositories},
  pages={606--610},
  year={2020}
}",inproceedings,Do explicit review strategies improve code review performance?,2020,en,0,,
Automatic code review by learning the structure information of code graph,https://www.mdpi.com/1424-8220/23/5/2551,"@article{yin2023automatic,
  title={Automatic code review by learning the structure information of code graph},
  author={Yin, Ying and Zhao, Yuhai and Sun, Yiming and Chen, Chen},
  journal={Sensors},
  volume={23},
  number={5},
  pages={2551},
  year={2023},
  publisher={MDPI}
}",article,Automatic code review by learning the structure information of code graph,2023,en,1,1,0
Impact of gamification on code review process: An experimental study,https://dl.acm.org/doi/abs/10.1145/3021460.3021474,"@inproceedings{khandelwal2017impact,
  title={Impact of gamification on code review process: An experimental study},
  author={Khandelwal, Shivam and Sripada, Sai Krishna and Reddy, Y Raghu},
  booktitle={Proceedings of the 10th innovations in software engineering conference},
  pages={122--126},
  year={2017}
}",inproceedings,Impact of gamification on code review process: An experimental study,2017,en,0,,
Ai-assisted assessment of coding practices in modern code review,https://dl.acm.org/doi/abs/10.1145/3664646.3665664,"@inproceedings{vijayvergiya2024ai,
  title={Ai-assisted assessment of coding practices in modern code review},
  author={Vijayvergiya, Manushree and Salawa, Ma{\l}gorzata and Budiseli{\'c}, Ivan and Zheng, Dan and Lamblin, Pascal and Ivankovi{\'c}, Marko and Carin, Juanjo and Lewko, Mateusz and Andonov, Jovan and Petrovi{\'c}, Goran and others},
  booktitle={Proceedings of the 1st ACM International Conference on AI-Powered Software},
  pages={85--93},
  year={2024}
}",inproceedings,Ai-assisted assessment of coding practices in modern code review,2024,en,1,1,0
Investigating the effectiveness of peer code review in distributed software development based on objective and subjective data,https://link.springer.com/article/10.1186/s40411-018-0058-0,"@article{dos2018investigating,
  title={Investigating the effectiveness of peer code review in distributed software development based on objective and subjective data},
  author={dos Santos, Eduardo Witter and Nunes, Ingrid},
  journal={Journal of Software Engineering Research and Development},
  volume={6},
  number={1},
  pages={14},
  year={2018},
  publisher={Springer}
}",article,Investigating the effectiveness of peer code review in distributed software development based on objective and subjective data,2018,en,0,,
Constructive code review: Managing the impact of interpersonal conflicts in practice,https://dl.acm.org/doi/abs/10.1145/3639477.3639715,"@inproceedings{wurzel2024constructive,
  title={Constructive code review: Managing the impact of interpersonal conflicts in practice},
  author={Wurzel Goncalves, Pavlina and SV Goncalves, Joao and Bacchelli, Alberto},
  booktitle={Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice},
  pages={334--345},
  year={2024}
}",inproceedings,Constructive code review: Managing the impact of interpersonal conflicts in practice,2024,en,0,,
