title,url,bibtex,bibtex_type,bibtex_title,bibtex_year,language
Towards Practical Defect-Focused Automated Code Review,https://arxiv.org/abs/2505.17928,"@article{lu2025towards,
  title={Towards Practical Defect-Focused Automated Code Review},
  author={Lu, Junyi and Jiang, Lili and Li, Xiaojia and Fang, Jianbing and Zhang, Fengjun and Yang, Li and Zuo, Chun},
  journal={arXiv preprint arXiv:2505.17928},
  year={2025}
}",article,Towards Practical Defect-Focused Automated Code Review,2025,en
Generation-based code review automation: How far are we?,https://ieeexplore.ieee.org/abstract/document/10174115/,"@inproceedings{zhou2023generation,
  title={Generation-based code review automation: How far are we?},
  author={Zhou, Xin and Kim, Kisub and Xu, Bowen and Han, DongGyun and He, Junda and Lo, David},
  booktitle={2023 IEEE/ACM 31st International Conference on Program Comprehension (ICPC)},
  pages={215--226},
  year={2023},
  organization={IEEE}
}",inproceedings,Generation-based code review automation: How far are we?,2023,en
Structured unit testable templated code for efficient code review process,https://arxiv.org/abs/1610.05726,"@article{patwardhan2016structured,
  title={Structured unit testable templated code for efficient code review process},
  author={Patwardhan, Amol},
  journal={arXiv preprint arXiv:1610.05726},
  year={2016}
}",article,Structured unit testable templated code for efficient code review process,2016,en
Using peer code review as an educational tool,https://dl.acm.org/doi/abs/10.1145/3341525.3387370,"@inproceedings{song2020using,
  title={Using peer code review as an educational tool},
  author={Song, Xiangyu and Goldstein, Seth Copen and Sakr, Majd},
  booktitle={Proceedings of the 2020 ACM Conference on Innovation and Technology in Computer Science Education},
  pages={173--179},
  year={2020}
}",inproceedings,Using peer code review as an educational tool,2020,en
Codeagent: Autonomous communicative agents for code review,https://arxiv.org/abs/2402.02172,"@article{tang2024codeagent,
  title={Codeagent: Autonomous communicative agents for code review},
  author={Tang, Xunzhu and Kim, Kisub and Song, Yewei and Lothritz, Cedric and Li, Bei and Ezzini, Saad and Tian, Haoye and Klein, Jacques and Bissyand{\'e}, Tegawend{\'e} F},
  journal={arXiv preprint arXiv:2402.02172},
  year={2024}
}",article,Codeagent: Autonomous communicative agents for code review,2024,en
iReview: an intelligent code review evaluation tool using biofeedback,https://ieeexplore.ieee.org/abstract/document/9700337/,"@inproceedings{hijazi2021ireview,
  title={iReview: an intelligent code review evaluation tool using biofeedback},
  author={Hijazi, Haytham and Cruz, Jos{\'e} and Castelhano, Jo{\~a}o and Couceiro, Ricardo and Castelo-Branco, Miguel and de Carvalho, Paulo and Madeira, Henrique},
  booktitle={2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE)},
  pages={476--485},
  year={2021},
  organization={IEEE}
}",inproceedings,iReview: an intelligent code review evaluation tool using biofeedback,2021,en
Automatic code review by learning the structure information of code graph,https://www.mdpi.com/1424-8220/23/5/2551,"@article{yin2023automatic,
  title={Automatic code review by learning the structure information of code graph},
  author={Yin, Ying and Zhao, Yuhai and Sun, Yiming and Chen, Chen},
  journal={Sensors},
  volume={23},
  number={5},
  pages={2551},
  year={2023},
  publisher={MDPI}
}",article,Automatic code review by learning the structure information of code graph,2023,en
Ai-assisted assessment of coding practices in modern code review,https://dl.acm.org/doi/abs/10.1145/3664646.3665664,"@inproceedings{vijayvergiya2024ai,
  title={Ai-assisted assessment of coding practices in modern code review},
  author={Vijayvergiya, Manushree and Salawa, Ma{\l}gorzata and Budiseli{\'c}, Ivan and Zheng, Dan and Lamblin, Pascal and Ivankovi{\'c}, Marko and Carin, Juanjo and Lewko, Mateusz and Andonov, Jovan and Petrovi{\'c}, Goran and others},
  booktitle={Proceedings of the 1st ACM International Conference on AI-Powered Software},
  pages={85--93},
  year={2024}
}",inproceedings,Ai-assisted assessment of coding practices in modern code review,2024,en
Using Stack Overflow content to assist in code review,https://onlinelibrary.wiley.com/doi/abs/10.1002/spe.2706,"@article{sharma2019using,
  title={Using Stack Overflow content to assist in code review},
  author={Sharma, Shipra and Sodhi, Balwinder},
  journal={Software: Practice and Experience},
  volume={49},
  number={8},
  pages={1255--1277},
  year={2019},
  publisher={Wiley Online Library}
}",article,Using Stack Overflow content to assist in code review,2019,en
Deepcrceval: Revisiting the evaluation of code review comment generation,https://library.oapen.org/bitstream/handle/20.500.12657/101665/9783031909009.pdf?sequence=1#page=58,"@inproceedings{lu2025deepcrceval,
  title={Deepcrceval: Revisiting the evaluation of code review comment generation},
  author={Lu, Junyi and Li, Xiaojia and Hua, Zihan and Yu, Lei and Cheng, Shiqi and Yang, Li and Zhang, Fengjun and Zuo, Chun},
  booktitle={International Conference on Fundamental Approaches to Software Engineering},
  pages={43--64},
  year={2025},
  organization={Springer Nature Switzerland Cham}
}",inproceedings,Deepcrceval: Revisiting the evaluation of code review comment generation,2025,en
Improving Code Review with GitHub Issue Tracking,https://ieeexplore.ieee.org/abstract/document/10068709/,"@inproceedings{al2022improving,
  title={Improving Code Review with GitHub Issue Tracking},
  author={Al-Rubaye, Abduljaleel and Sukthankar, Gita},
  booktitle={2022 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)},
  pages={210--217},
  year={2022},
  organization={IEEE}
}",inproceedings,Improving Code Review with GitHub Issue Tracking,2022,en
Automating code review,https://ieeexplore.ieee.org/abstract/document/10172885/,"@inproceedings{tufano2023automating,
  title={Automating code review},
  author={Tufano, Rosalia},
  booktitle={2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)},
  pages={192--196},
  year={2023},
  organization={IEEE}
}",inproceedings,Automating code review,2023,en
Codereviewqa: The code review comprehension assessment for large language models,https://aclanthology.org/2025.findings-acl.476/,"@inproceedings{lin2025codereviewqa,
  title={Codereviewqa: The code review comprehension assessment for large language models},
  author={Lin, Hong-Yi and Liu, Chunhua and Gao, Haoyu and Thongtanunam, Patanamon and Treude, Christoph},
  booktitle={Findings of the Association for Computational Linguistics: ACL 2025},
  pages={9138--9166},
  year={2025}
}",inproceedings,Codereviewqa: The code review comprehension assessment for large language models,2025,en
Prioritizing code review requests to improve review efficiency: a simulation study,https://link.springer.com/article/10.1007/s10664-024-10575-0,"@article{yang2025prioritizing,
  title={Prioritizing code review requests to improve review efficiency: a simulation study},
  author={Yang, Lanxin and Liu, Bohan and Jia, Junyu and Xu, Jinwei and Xue, Junming and Zhang, He and Bacchelli, Alberto},
  journal={Empirical Software Engineering},
  volume={30},
  number={1},
  pages={24},
  year={2025},
  publisher={Springer}
}",article,Prioritizing code review requests to improve review efficiency: a simulation study,2025,en
Partitioning composite code changes to facilitate code review,https://ieeexplore.ieee.org/abstract/document/7180078/,"@inproceedings{tao2015partitioning,
  title={Partitioning composite code changes to facilitate code review},
  author={Tao, Yida and Kim, Sunghun},
  booktitle={2015 IEEE/ACM 12th Working Conference on Mining Software Repositories},
  pages={180--190},
  year={2015},
  organization={IEEE}
}",inproceedings,Partitioning composite code changes to facilitate code review,2015,en
Reviewer recommendation for pull-requests in GitHub: What can we learn from code review and bug assignment?,https://www.sciencedirect.com/science/article/pii/S0950584916000069,"@article{yu2016reviewer,
  title={Reviewer recommendation for pull-requests in GitHub: What can we learn from code review and bug assignment?},
  author={Yu, Yue and Wang, Huaimin and Yin, Gang and Wang, Tao},
  journal={Information and software technology},
  volume={74},
  pages={204--218},
  year={2016},
  publisher={Elsevier}
}",article,Reviewer recommendation for pull-requests in GitHub: What can we learn from code review and bug assignment?,2016,en
Hold on! is my feedback useful? evaluating the usefulness of code review comments,https://link.springer.com/article/10.1007/s10664-025-10617-1,"@article{ahmed2025hold,
  title={Hold on! is my feedback useful? evaluating the usefulness of code review comments},
  author={Ahmed, Sharif and Eisty, Nasir U},
  journal={Empirical Software Engineering},
  volume={30},
  number={3},
  pages={1--40},
  year={2025},
  publisher={Springer}
}",article,Hold on! is my feedback useful? evaluating the usefulness of code review comments,2025,en
"Support, not automation: Towards AI-supported code review for code quality and beyond",https://dl.acm.org/doi/abs/10.1145/3696630.3728505,"@inproceedings{heander2025support,
  title={Support, not automation: Towards AI-supported code review for code quality and beyond},
  author={Heander, Lo and S{\""o}derberg, Emma and Rydenf{\""a}lt, Christofer},
  booktitle={Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering},
  pages={591--595},
  year={2025}
}",inproceedings,"Support, not automation: Towards AI-supported code review for code quality and beyond",2025,en
Automatic code review by learning the revision of source code,https://ojs.aaai.org/index.php/AAAI/article/view/4420,"@inproceedings{shi2019automatic,
  title={Automatic code review by learning the revision of source code},
  author={Shi, Shu-Ting and Li, Ming and Lo, David and Thung, Ferdian and Huo, Xuan},
  booktitle={Proceedings of the AAAI Conference on Artificial Intelligence},
  volume={33},
  number={01},
  pages={4910--4917},
  year={2019}
}",inproceedings,Automatic code review by learning the revision of source code,2019,en
The review linkage graph for code review analytics: A recovery approach and empirical study,https://dl.acm.org/doi/abs/10.1145/3338906.3338949,"@inproceedings{hirao2019review,
  title={The review linkage graph for code review analytics: A recovery approach and empirical study},
  author={Hirao, Toshiki and McIntosh, Shane and Ihara, Akinori and Matsumoto, Kenichi},
  booktitle={Proceedings of the 2019 27th ACM joint meeting on European software engineering conference and symposium on the foundations of software engineering},
  pages={578--589},
  year={2019}
}",inproceedings,The review linkage graph for code review analytics: A recovery approach and empirical study,2019,en
Affect recognition in code review: An in-situ biometric study of reviewer's affect,https://www.sciencedirect.com/science/article/pii/S0164121219302080,"@article{vrzakova2020affect,
  title={Affect recognition in code review: An in-situ biometric study of reviewerâs affect},
  author={Vrzakova, Hana and Begel, Andrew and Meht{\""a}talo, Lauri and Bednarik, Roman},
  journal={Journal of Systems and Software},
  volume={159},
  pages={110434},
  year={2020},
  publisher={Elsevier}
}",article,Affect recognition in code review: An in-situ biometric study of reviewerâs affect,2020,en
Towards verifiable web-based code review systems,https://journals.sagepub.com/doi/abs/10.3233/JCS-210098,"@article{afzali2023towards,
  title={Towards verifiable web-based code review systems},
  author={Afzali, Hammad and Torres-Arias, Santiago and Curtmola, Reza and Cappos, Justin},
  journal={Journal of Computer Security},
  volume={31},
  number={2},
  pages={153--184},
  year={2023},
  publisher={SAGE Publications Sage UK: London, England}
}",article,Towards verifiable web-based code review systems,2023,en
Code review knowledge perception: Fusing multi-features for salient-class location,https://ieeexplore.ieee.org/abstract/document/9186620/,"@article{huang2020code,
  title={Code review knowledge perception: Fusing multi-features for salient-class location},
  author={Huang, Yuan and Jia, Nan and Chen, Xiangping and Hong, Kai and Zheng, Zibin},
  journal={IEEE Transactions on Software Engineering},
  volume={48},
  number={5},
  pages={1463--1479},
  year={2020},
  publisher={IEEE}
}",article,Code review knowledge perception: Fusing multi-features for salient-class location,2020,en
Mining source code improvement patterns from similar code review works,https://ieeexplore.ieee.org/abstract/document/8665852/,"@inproceedings{ueda2019mining,
  title={Mining source code improvement patterns from similar code review works},
  author={Ueda, Yuki and Ishio, Takashi and Ihara, Akinori and Matsumoto, Kenichi},
  booktitle={2019 IEEE 13th International Workshop on Software Clones (IWSC)},
  pages={13--19},
  year={2019},
  organization={IEEE}
}",inproceedings,Mining source code improvement patterns from similar code review works,2019,en
ACoRAâA Platform for Automating Code Review Tasks,https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-c7400f1b-e90c-4a7c-9202-6c44c0986318,"@article{ochodek2025acora,
  title={ACoRA--A Platform for Automating Code Review Tasks},
  author={Ochodek, Miros{\l}aw and Staron, Miroslaw},
  journal={e-Informatica Software Engineering Journal},
  volume={19},
  number={1},
  year={2025}
}",article,ACoRA--A Platform for Automating Code Review Tasks,2025,en
CodeFuse-CR-Bench: A Comprehensiveness-aware Benchmark for End-to-End Code Review Evaluation in Python Projects,https://arxiv.org/abs/2509.14856,"@article{guo2025codefuse,
  title={CodeFuse-CR-Bench: A Comprehensiveness-aware Benchmark for End-to-End Code Review Evaluation in Python Projects},
  author={Guo, Hanyang and Zheng, Xunjin and Liao, Zihan and Yu, Hang and Di, Peng and Zhang, Ziyin and Dai, Hong-Ning},
  journal={arXiv preprint arXiv:2509.14856},
  year={2025}
}",article,CodeFuse-CR-Bench: A Comprehensiveness-aware Benchmark for End-to-End Code Review Evaluation in Python Projects,2025,en
Automating Code Review Systems Using Natural Language Processing,https://ijetcsit.org/index.php/ijetcsit/article/view/305,"@article{mathew2025automating,
  title={Automating Code Review Systems Using Natural Language Processing},
  author={Mathew, Kijo},
  journal={International Journal of Emerging Trends in Computer Science and Information Technology},
  pages={593--603},
  year={2025}
}",article,Automating Code Review Systems Using Natural Language Processing,2025,en
WhoReview: A multi-objective search-based approach for code reviewers recommendation in modern code review,https://www.sciencedirect.com/science/article/pii/S1568494620308462,"@article{chouchen2021whoreview,
  title={WhoReview: A multi-objective search-based approach for code reviewers recommendation in modern code review},
  author={Chouchen, Moataz and Ouni, Ali and Mkaouer, Mohamed Wiem and Kula, Raula Gaikovina and Inoue, Katsuro},
  journal={Applied Soft Computing},
  volume={100},
  pages={106908},
  year={2021},
  publisher={Elsevier}
}",article,WhoReview: A multi-objective search-based approach for code reviewers recommendation in modern code review,2021,en
Towards improving code review effectiveness through task automation,https://dl.acm.org/doi/abs/10.1145/3551349.3559565,"@inproceedings{turzo2022towards,
  title={Towards improving code review effectiveness through task automation},
  author={Turzo, Asif Kamal},
  booktitle={Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering},
  pages={1--5},
  year={2022}
}",inproceedings,Towards improving code review effectiveness through task automation,2022,en
SentiCR: A customized sentiment analysis tool for code review interactions,https://ieeexplore.ieee.org/abstract/document/8115623/,"@inproceedings{ahmed2017senticr,
  title={SentiCR: A customized sentiment analysis tool for code review interactions},
  author={Ahmed, Toufique and Bosu, Amiangshu and Iqbal, Anindya and Rahimi, Shahram},
  booktitle={2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)},
  pages={106--111},
  year={2017},
  organization={IEEE}
}",inproceedings,SentiCR: A customized sentiment analysis tool for code review interactions,2017,en
Improving the learning of code review successive tasks with cross-task knowledge distillation,https://dl.acm.org/doi/abs/10.1145/3643775,"@article{ben2024improving,
  title={Improving the learning of code review successive tasks with cross-task knowledge distillation},
  author={Ben Sghaier, Oussama and Sahraoui, Houari},
  journal={Proceedings of the ACM on Software Engineering},
  volume={1},
  number={FSE},
  pages={1086--1106},
  year={2024},
  publisher={ACM New York, NY, USA}
}",article,Improving the learning of code review successive tasks with cross-task knowledge distillation,2024,en
AI Driven Code Review System: Leveraging Artificial Intelligence for Enhanced code Quality Assessment and Bug Detection,https://www.theseus.fi/handle/10024/893042,"@article{rehman2025ai,
  title={AI Driven Code Review System: Leveraging Artificial Intelligence for Enhanced code Quality Assessment and Bug Detection},
  author={Rehman, Abdul},
  year={2025}
}",article,AI Driven Code Review System: Leveraging Artificial Intelligence for Enhanced code Quality Assessment and Bug Detection,2025,en
Combining Large Language Models with Static Analyzers for Code Review Generation,https://ieeexplore.ieee.org/abstract/document/11025622/,"@inproceedings{jaoua2025combining,
  title={Combining Large Language Models with Static Analyzers for Code Review Generation},
  author={Jaoua, Imen and Sghaier, Oussama Ben and Sahraoui, Houari},
  booktitle={2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR)},
  pages={174--186},
  year={2025},
  organization={IEEE}
}",inproceedings,Combining Large Language Models with Static Analyzers for Code Review Generation,2025,en
Decomposing composite changes for code review and regression test selection in evolving software,https://link.springer.com/article/10.1007/s11390-019-1917-9,"@article{guo2019decomposing,
  title={Decomposing composite changes for code review and regression test selection in evolving software},
  author={Guo, Bo and Kwon, Young-Woo and Song, Myoungkyu},
  journal={Journal of Computer Science and Technology},
  volume={34},
  number={2},
  pages={416--436},
  year={2019},
  publisher={Springer}
}",article,Decomposing composite changes for code review and regression test selection in evolving software,2019,en
Core: Automating review recommendation for code changes,https://ieeexplore.ieee.org/abstract/document/9054794/,"@inproceedings{siow2020core,
  title={Core: Automating review recommendation for code changes},
  author={Siow, Jing Kai and Gao, Cuiyun and Fan, Lingling and Chen, Sen and Liu, Yang},
  booktitle={2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)},
  pages={284--295},
  year={2020},
  organization={IEEE}
}",inproceedings,Core: Automating review recommendation for code changes,2020,en
Fine-tuning large language models to improve accuracy and comprehensibility of automated code review,https://dl.acm.org/doi/abs/10.1145/3695993,"@article{yu2024fine,
  title={Fine-tuning large language models to improve accuracy and comprehensibility of automated code review},
  author={Yu, Yongda and Rong, Guoping and Shen, Haifeng and Zhang, He and Shao, Dong and Wang, Min and Wei, Zhao and Xu, Yong and Wang, Juhong},
  journal={ACM transactions on software engineering and methodology},
  volume={34},
  number={1},
  pages={1--26},
  year={2024},
  publisher={ACM New York, NY}
}",article,Fine-tuning large language models to improve accuracy and comprehensibility of automated code review,2024,en
Benchmarking LLMs for Fine-Grained Code Review with Enriched Context in Practice,https://arxiv.org/abs/2511.07017,"@article{hu2025benchmarking,
  title={Benchmarking LLMs for Fine-Grained Code Review with Enriched Context in Practice},
  author={Hu, Ruida and Wang, Xinchen and Wen, Xin-Cheng and Zhang, Zhao and Jiang, Bo and Gao, Pengfei and Peng, Chao and Gao, Cuiyun},
  journal={arXiv preprint arXiv:2511.07017},
  year={2025}
}",article,Benchmarking LLMs for Fine-Grained Code Review with Enriched Context in Practice,2025,en
"Empowering code review automation: a data-centric, multi-task-driven, and human-aware approach",https://umontreal.scholaris.ca/items/ec592096-3ff2-4920-aa7d-f04bff9c1d33,"@article{ben2025empowering,
  title={Empowering code review automation: a data-centric, multi-task-driven, and human-aware approach},
  author={Ben Sghaier, Oussama},
  year={2025}
}",article,"Empowering code review automation: a data-centric, multi-task-driven, and human-aware approach",2025,en
A multi-objective effort-aware approach for early code review prediction and prioritization,https://link.springer.com/article/10.1007/s10664-023-10431-7,"@article{chouchen2024multi,
  title={A multi-objective effort-aware approach for early code review prediction and prioritization},
  author={Chouchen, Moataz and Ouni, Ali},
  journal={Empirical Software Engineering},
  volume={29},
  number={1},
  pages={29},
  year={2024},
  publisher={Springer}
}",article,A multi-objective effort-aware approach for early code review prediction and prioritization,2024,en
Towards Automated Classification of Code Review Feedback to Support Analytics,https://par.nsf.gov/servlets/purl/10438358,"@inproceedings{kamal2023towards,
  title={Towards Automated Classification of Code Review Feedback to Support Analytics},
  author={Kamal, Turzo Asif and Faysal, Fahim and Poddar, Ovi and Sarker, Jaydeb and Iqbal, Anindya and Bosu, Amiangshu},
  booktitle={Proceedings he 17th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement},
  year={2023}
}",inproceedings,Towards Automated Classification of Code Review Feedback to Support Analytics,2023,en
Intelligent code review assignment for large scale open source software stacks,https://dl.acm.org/doi/abs/10.1145/3551349.3561147,"@inproceedings{aryendu2022intelligent,
  title={Intelligent code review assignment for large scale open source software stacks},
  author={Aryendu, Ishan and Wang, Ying and Elkourdi, Farah and Alomar, Eman Abdullah},
  booktitle={Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering},
  pages={1--6},
  year={2022}
}",inproceedings,Intelligent code review assignment for large scale open source software stacks,2022,en
